company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_gb,storage_type,weight_kg,gpu_brand,gpu_model
Apple,MacBook Pro,Ultrabook,13.3,macOS,1339.69,2560,1600,1.6,IPS Panel Retina Display ,No,Intel,Core i5,2.3,8.0,128.0,SSD,1.37,Intel Iris Plus Graphics ,640
Apple,Macbook Air,Ultrabook,13.3,macOS,898.94,1440,900,1.6,Other,No,Intel,Core i5,1.8,8.0,128.0,Flash Storage,1.34,Intel HD Graphics ,6000
HP,250 G6,Notebook,15.6,No OS,575.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i5 7200U,2.5,8.0,256.0,SSD,1.86,Intel HD Graphics ,620
Apple,MacBook Pro,Ultrabook,15.4,macOS,2537.45,2880,1800,1.6,IPS Panel Retina Display ,No,Intel,Core i7,2.7,16.0,512.0,SSD,1.83,AMD Radeon Pro ,455
Apple,MacBook Pro,Ultrabook,13.3,macOS,1803.6,2560,1600,1.6,IPS Panel Retina Display ,No,Intel,Core i5,3.1,8.0,256.0,SSD,1.37,Intel Iris Plus Graphics ,650
Acer,Aspire 3,Notebook,15.6,Windows 10,400.0,1366,768,1.7786458333333333,Other,No,AMD,A9-Series 9420,3.0,4.0,500.0,HDD,2.1,AMD Radeon R,5
Apple,MacBook Pro,Ultrabook,15.4,Mac OS X,2139.97,2880,1800,1.6,IPS Panel Retina Display ,No,Intel,Core i7,2.2,16.0,256.0,Flash Storage,2.04,,
Apple,Macbook Air,Ultrabook,13.3,macOS,1158.7,1440,900,1.6,Other,No,Intel,Core i5,1.8,8.0,256.0,Flash Storage,1.34,Intel HD Graphics ,6000
Asus,ZenBook UX430UN,Ultrabook,14.0,Windows 10,1495.0,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i7 8550U,1.8,16.0,512.0,SSD,1.3,Nvidia GeForce MX,150
Acer,Swift 3,Ultrabook,14.0,Windows 10,770.0,1920,1080,1.7777777777777777,IPS Panel Full HD ,No,Intel,Core i5 8250U,1.6,8.0,256.0,SSD,1.6,Intel UHD Graphics ,620
HP,250 G6,Notebook,15.6,No OS,393.9,1366,768,1.7786458333333333,Other,No,Intel,Core i5 7200U,2.5,4.0,500.0,HDD,1.86,Intel HD Graphics ,620
HP,250 G6,Notebook,15.6,No OS,344.99,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,500.0,HDD,1.86,Intel HD Graphics ,520
Apple,MacBook Pro,Ultrabook,15.4,macOS,2439.97,2880,1800,1.6,IPS Panel Retina Display ,No,Intel,Core i7,2.8,16.0,256.0,SSD,1.83,AMD Radeon Pro ,555
Dell,Inspiron 3567,Notebook,15.6,Windows 10,498.9,1920,1080,1.7777777777777777,Full HD ,No,Intel,Core i3 6006U,2.0,4.0,256.0,SSD,2.2,AMD Radeon R,5
